m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,-,0.3,0.3,0.1,0.2,0.2,T,T,0.1,0.1
생산량,-,0.5,0.2,0.6,0.4,T,T,0.3,0.5,0.4
수입량,-,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
곡물총량,-,0.9,0.6,0.8,0.8,0.4,0.4,0.6,0.7,0.6
총소비량,-,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4
수출량,-,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2
내년이월,-,0.3,0.1,0.2,0.2,T,T,0.1,0.1,0.1
,,,,,,,,,,
